,Year,Price,WinterRain,AGST,HarvestRain,Age,FrancePop,location
0,1952,9.1375245,600,17.1167,160,31,43183.569,WineryChevalBlanc
1,1953,9.681824500000001,690,16.7333,80,30,43495.03,WineryChevalBlanc
2,1955,9.3283245,502,17.15,130,28,44217.857,WineryChevalBlanc
3,1957,8.6270245,420,16.1333,110,26,45152.252,WineryChevalBlanc
4,1958,8.4197245,582,16.4167,187,25,45653.805,WineryChevalBlanc
5,1959,9.7182245,485,17.4833,187,24,46128.638,WineryChevalBlanc
6,1960,8.1613245,763,16.4167,290,23,46583.995,WineryChevalBlanc
7,1961,10.1362245,830,17.3333,38,22,47128.005,WineryChevalBlanc
8,1962,9.0305245,697,16.3,52,21,48088.673,WineryChevalBlanc
9,1963,8.3552245,608,15.7167,155,20,48798.99,WineryChevalBlanc
10,1964,8.9519245,402,17.2667,96,19,49356.943,WineryChevalBlanc
11,1965,7.8943245,602,15.3667,267,18,49801.821,WineryChevalBlanc
12,1966,9.3868245,819,16.5333,86,17,50254.966,WineryChevalBlanc
13,1967,8.4823245,714,16.2333,118,16,50650.406,WineryChevalBlanc
14,1968,7.8860244999999995,610,16.2,292,15,51034.413,WineryChevalBlanc
15,1969,7.988424500000001,575,16.55,244,14,51470.276,WineryChevalBlanc
16,1970,9.2308245,622,16.6667,89,13,51918.389,WineryChevalBlanc
17,1971,8.835924499999999,551,16.7667,112,12,52431.647,WineryChevalBlanc
18,1972,7.847424500000001,536,14.9833,158,11,52894.183,WineryChevalBlanc
19,1973,8.2792245,376,17.0667,123,10,53332.805,WineryChevalBlanc
20,1974,7.936624500000001,574,16.3,184,9,53689.61,WineryChevalBlanc
21,1975,8.9345245,572,16.95,171,8,53955.042,WineryChevalBlanc
22,1976,8.7636245,418,17.65,247,7,54159.049,WineryChevalBlanc
23,1977,7.9012245,821,15.5833,87,6,54378.362,WineryChevalBlanc
24,1978,8.8285245,763,15.8167,51,5,54602.193,WineryChevalBlanc
25,1979,8.5966245,717,16.1667,122,4,54835.832,WineryChevalBlanc
26,1980,8.1404245,578,16.0,74,3,55110.236,WineryChevalBlanc
0,1952,7.7704099,600,17.1167,160,31,43183.569,WineryCosd'Estournel
1,1953,8.3147099,690,16.7333,80,30,43495.03,WineryCosd'Estournel
2,1955,7.9612099,502,17.15,130,28,44217.857,WineryCosd'Estournel
3,1957,7.259909899999999,420,16.1333,110,26,45152.252,WineryCosd'Estournel
4,1958,7.052609899999999,582,16.4167,187,25,45653.805,WineryCosd'Estournel
5,1959,8.351109899999999,485,17.4833,187,24,46128.638,WineryCosd'Estournel
6,1960,6.794209899999999,763,16.4167,290,23,46583.995,WineryCosd'Estournel
7,1961,8.7691099,830,17.3333,38,22,47128.005,WineryCosd'Estournel
8,1962,7.6634098999999996,697,16.3,52,21,48088.673,WineryCosd'Estournel
9,1963,6.9881098999999995,608,15.7167,155,20,48798.99,WineryCosd'Estournel
10,1964,7.5848099,402,17.2667,96,19,49356.943,WineryCosd'Estournel
11,1965,6.5272099,602,15.3667,267,18,49801.821,WineryCosd'Estournel
12,1966,8.0197099,819,16.5333,86,17,50254.966,WineryCosd'Estournel
13,1967,7.1152099,714,16.2333,118,16,50650.406,WineryCosd'Estournel
14,1968,6.5189099,610,16.2,292,15,51034.413,WineryCosd'Estournel
15,1969,6.6213099,575,16.55,244,14,51470.276,WineryCosd'Estournel
16,1970,7.8637099,622,16.6667,89,13,51918.389,WineryCosd'Estournel
17,1971,7.468809899999999,551,16.7667,112,12,52431.647,WineryCosd'Estournel
18,1972,6.4803099,536,14.9833,158,11,52894.183,WineryCosd'Estournel
19,1973,6.9121099,376,17.0667,123,10,53332.805,WineryCosd'Estournel
20,1974,6.5695099,574,16.3,184,9,53689.61,WineryCosd'Estournel
21,1975,7.5674098999999995,572,16.95,171,8,53955.042,WineryCosd'Estournel
22,1976,7.3965099,418,17.65,247,7,54159.049,WineryCosd'Estournel
23,1977,6.5341099,821,15.5833,87,6,54378.362,WineryCosd'Estournel
24,1978,7.4614099,763,15.8167,51,5,54602.193,WineryCosd'Estournel
25,1979,7.2295099,717,16.1667,122,4,54835.832,WineryCosd'Estournel
26,1980,6.773309899999999,578,16.0,74,3,55110.236,WineryCosd'Estournel
0,1952,7.1957097,600,17.1167,160,31,43183.569,WineryGiscours
1,1953,7.740009700000001,690,16.7333,80,30,43495.03,WineryGiscours
2,1955,7.3865097,502,17.15,130,28,44217.857,WineryGiscours
3,1957,6.6852097,420,16.1333,110,26,45152.252,WineryGiscours
4,1958,6.4779097,582,16.4167,187,25,45653.805,WineryGiscours
5,1959,7.776409699999999,485,17.4833,187,24,46128.638,WineryGiscours
6,1960,6.2195097,763,16.4167,290,23,46583.995,WineryGiscours
7,1961,8.194409700000001,830,17.3333,38,22,47128.005,WineryGiscours
8,1962,7.0887097,697,16.3,52,21,48088.673,WineryGiscours
9,1963,6.4134097,608,15.7167,155,20,48798.99,WineryGiscours
10,1964,7.0101097,402,17.2667,96,19,49356.943,WineryGiscours
