Year,Price,WinterRain,AGST,HarvestRain,Age,FrancePop,location
1952,9.1375245,600,17.1167,160,31,43183.569,WineryChevalBlanc
1953,9.6818245,690,16.7333,80,30,43495.03,WineryChevalBlanc
1955,9.3283245,502,17.15,130,28,44217.857,WineryChevalBlanc
1957,8.6270245,420,16.1333,110,26,45152.252,WineryChevalBlanc
1958,8.4197245,582,16.4167,187,25,45653.805,WineryChevalBlanc
1959,9.7182245,485,17.4833,187,24,46128.638,WineryChevalBlanc
1960,8.1613245,763,16.4167,290,23,46583.995,WineryChevalBlanc
1961,10.1362245,830,17.3333,38,22,47128.005,WineryChevalBlanc
1962,9.0305245,697,16.3,52,21,48088.673,WineryChevalBlanc
1963,8.3552245,608,15.7167,155,20,48798.99,WineryChevalBlanc
1964,8.9519245,402,17.2667,96,19,49356.943,WineryChevalBlanc
1965,7.8943245,602,15.3667,267,18,49801.821,WineryChevalBlanc
1966,9.3868245,819,16.5333,86,17,50254.966,WineryChevalBlanc
1967,8.4823245,714,16.2333,118,16,50650.406,WineryChevalBlanc
1968,7.886024499999999,610,16.2,292,15,51034.413,WineryChevalBlanc
1969,7.988424500000001,575,16.55,244,14,51470.276,WineryChevalBlanc
1970,9.2308245,622,16.6667,89,13,51918.389,WineryChevalBlanc
1971,8.835924499999999,551,16.7667,112,12,52431.647,WineryChevalBlanc
1972,7.847424500000001,536,14.9833,158,11,52894.183,WineryChevalBlanc
1973,8.2792245,376,17.0667,123,10,53332.805,WineryChevalBlanc
1974,7.936624500000001,574,16.3,184,9,53689.61,WineryChevalBlanc
1975,8.9345245,572,16.95,171,8,53955.042,WineryChevalBlanc
1976,8.7636245,418,17.65,247,7,54159.049,WineryChevalBlanc
1977,7.9012245,821,15.5833,87,6,54378.362,WineryChevalBlanc
1978,8.8285245,763,15.8167,51,5,54602.193,WineryChevalBlanc
1979,8.5966245,717,16.1667,122,4,54835.832,WineryChevalBlanc
1980,8.1404245,578,16.0,74,3,55110.236,WineryChevalBlanc
1952,7.7704099,600,17.1167,160,31,43183.569,WineryCosd'Estournel
1953,8.3147099,690,16.7333,80,30,43495.03,WineryCosd'Estournel
1955,7.9612099,502,17.15,130,28,44217.857,WineryCosd'Estournel
1957,7.259909899999999,420,16.1333,110,26,45152.252,WineryCosd'Estournel
1958,7.052609899999999,582,16.4167,187,25,45653.805,WineryCosd'Estournel
1959,8.351109899999999,485,17.4833,187,24,46128.638,WineryCosd'Estournel
1960,6.794209899999999,763,16.4167,290,23,46583.995,WineryCosd'Estournel
1961,8.7691099,830,17.3333,38,22,47128.005,WineryCosd'Estournel
1962,7.663409899999999,697,16.3,52,21,48088.673,WineryCosd'Estournel
1963,6.9881099,608,15.7167,155,20,48798.99,WineryCosd'Estournel
1964,7.5848099,402,17.2667,96,19,49356.943,WineryCosd'Estournel
1965,6.5272099,602,15.3667,267,18,49801.821,WineryCosd'Estournel
1966,8.0197099,819,16.5333,86,17,50254.966,WineryCosd'Estournel
1967,7.1152099,714,16.2333,118,16,50650.406,WineryCosd'Estournel
1968,6.5189099,610,16.2,292,15,51034.413,WineryCosd'Estournel
1969,6.6213099,575,16.55,244,14,51470.276,WineryCosd'Estournel
1970,7.8637099,622,16.6667,89,13,51918.389,WineryCosd'Estournel
1971,7.468809899999999,551,16.7667,112,12,52431.647,WineryCosd'Estournel
1972,6.4803099,536,14.9833,158,11,52894.183,WineryCosd'Estournel
1973,6.9121099,376,17.0667,123,10,53332.805,WineryCosd'Estournel
1974,6.5695099,574,16.3,184,9,53689.61,WineryCosd'Estournel
1975,7.567409899999999,572,16.95,171,8,53955.042,WineryCosd'Estournel
1976,7.3965099,418,17.65,247,7,54159.049,WineryCosd'Estournel
1977,6.5341099,821,15.5833,87,6,54378.362,WineryCosd'Estournel
1978,7.4614099,763,15.8167,51,5,54602.193,WineryCosd'Estournel
1979,7.2295099,717,16.1667,122,4,54835.832,WineryCosd'Estournel
1980,6.773309899999999,578,16.0,74,3,55110.236,WineryCosd'Estournel
1952,7.1957097,600,17.1167,160,31,43183.569,WineryGiscours
1953,7.740009700000001,690,16.7333,80,30,43495.03,WineryGiscours
1955,7.3865097,502,17.15,130,28,44217.857,WineryGiscours
1957,6.6852097,420,16.1333,110,26,45152.252,WineryGiscours
1958,6.4779097,582,16.4167,187,25,45653.805,WineryGiscours
1959,7.776409699999999,485,17.4833,187,24,46128.638,WineryGiscours
1960,6.2195097,763,16.4167,290,23,46583.995,WineryGiscours
1961,8.194409700000001,830,17.3333,38,22,47128.005,WineryGiscours
1962,7.0887097,697,16.3,52,21,48088.673,WineryGiscours
1963,6.4134097,608,15.7167,155,20,48798.99,WineryGiscours
1964,7.0101097,402,17.2667,96,19,49356.943,WineryGiscours
1965,5.9525097,602,15.3667,267,18,49801.821,WineryGiscours
1966,7.4450097,819,16.5333,86,17,50254.966,WineryGiscours
1967,6.5405097,714,16.2333,118,16,50650.406,WineryGiscours
1968,5.9442097,610,16.2,292,15,51034.413,WineryGiscours
1969,6.0466097,575,16.55,244,14,51470.276,WineryGiscours
1970,7.2890097,622,16.6667,89,13,51918.389,WineryGiscours
1971,6.8941097,551,16.7667,112,12,52431.647,WineryGiscours
1972,5.9056097,536,14.9833,158,11,52894.183,WineryGiscours
1973,6.3374097,376,17.0667,123,10,53332.805,WineryGiscours
1974,5.9948097,574,16.3,184,9,53689.61,WineryGiscours
1975,6.9927097,572,16.95,171,8,53955.042,WineryGiscours
1976,6.8218097,418,17.65,247,7,54159.049,WineryGiscours
1977,5.9594097,821,15.5833,87,6,54378.362,WineryGiscours
1978,6.8867097,763,15.8167,51,5,54602.193,WineryGiscours
1979,6.6548097,717,16.1667,122,4,54835.832,WineryGiscours
1980,6.1986097,578,16.0,74,3,55110.236,WineryGiscours
1952,9.3891459,600,17.1167,160,31,43183.569,WineryLafite-Rothschild
1953,9.9334459,690,16.7333,80,30,43495.03,WineryLafite-Rothschild
1955,9.5799459,502,17.15,130,28,44217.857,WineryLafite-Rothschild
1957,8.8786459,420,16.1333,110,26,45152.252,WineryLafite-Rothschild
1958,8.6713459,582,16.4167,187,25,45653.805,WineryLafite-Rothschild
1959,9.9698459,485,17.4833,187,24,46128.638,WineryLafite-Rothschild
