headline,impressions,clicks,ctr
Why Our Next Rosie The Riveter Is Trading Her Wrench In For A Laptop,4570.0,15.0,0.0032822757111597373
We're Ready For A New Rosie The Riveter. Here's Where We'll Find Her.,4528.0,30.0,0.0066254416961130744
Why Our Next Rosie The Riveter Will Trade Her Wrench In For A Laptop,4368.0,9.0,0.0020604395604395605
Why The Next Empire State Building Might Be Built By Women,3756.0,14.0,0.003727369542066028
These Girls Have Seen Their Own Potential,3677.0,22.0,0.005983138428066358
Girls Just Wanna Have Functional Engineering Infrastructure,3627.0,18.0,0.004962779156327543
These Girls Have Seen Their Own Potential. They're Going To Do Amazing Things With It.,3587.0,31.0,0.008642319487036521
Watch Democrats And Republicans Agree On One Very Important Issue,3156.0,31.0,0.00982256020278834
How I Know Gay Marriage Will Be Totally Legalized In The Very Near Future,3143.0,25.0,0.007954183900731784
This Is Exactly How Desperate We Are To Get Oil Out Of The Ground,3088.0,25.0,0.008095854922279792
What Would Someone From 200 Years Ago Think Of This Thing We Now Do To Get Oil Out Of The Ground?,3027.0,16.0,0.005285761480013214
Watch Democrats And Republicans Agree On One Very Important Issue,3012.0,38.0,0.012616201859229747
So Begins The Part Of Human History When We Do THIS Thing To Get Our Precious Oil Out Of The Ground.,2977.0,14.0,0.0047027208599261005
Is This An Ad Featuring Democrats And Republicans Agreeing On Something Super Important?,2965.0,28.0,0.009443507588532884
Why It's Not A Good Time To Be A Shale Formation In The U.S.,2953.0,13.0,0.0044023027429732475
A Member Of Congress Defends Citizens United. A Member Of Humanity Explains How Wrong They Are.,2946.0,26.0,0.008825526137135099
Hear An American's Voice That The Government Thinks Is Too Dangerous For You To Hear,2937.0,53.0,0.01804562478719782
 Amazing Mind Reader Reveals How He Guesses People's Credit Card Numbers,2918.0,30.0,0.01028101439342015
A Congressperson And A Real Human Person Debate Citizens United. Honest Shellacking Ensues.,2916.0,39.0,0.013374485596707819
"This Mind Reader Is So Good, He Can Even Guess Your Credit Card Number",2903.0,48.0,0.0165346193592835
The One Where A Congresscritter Tries To Defend Citizens United And Loses Spectacularly,2899.0,33.0,0.011383235598482234
This Mind Reader's 'Gift' Is About To Blow Your Mind,2814.0,50.0,0.017768301350390904
A Congressperson And A Real Person Debate Citizens United. Guess Who Wins?,2800.0,27.0,0.009642857142857142
"If You Don't Think We Need To Pass The Violence Against Women Act, Then You Haven't Seen This",2792.0,48.0,0.017191977077363897
"Adele Just Won A Grammy, So Of Course Fox News Is Talking About How Fat She Is",2791.0,105.0,0.03762092439985668
You Haven't Been Allowed To Hear This American's Voice For Almost 3 Years; Here's What He Has To Say,2788.0,49.0,0.01757532281205165
LEAKED AUDIO: Bradley Manning Finally Gets To Explain Why He Blew The Whistle On The U.S. Government,2782.0,31.0,0.011143062544931704
The Ending Of This Could Be Better Than The Finale Of Any Of The 'Harry Potter' Movies,2766.0,50.0,0.018076644974692697
"If You Don't Think We Need To Pass The Violence Against Women Act, Then You Haven't Seen This",2714.0,55.0,0.020265291083271922
Why Malcolm X HATED Martin Luther King Jr.,2712.0,49.0,0.018067846607669618
NSFW: Why Is Draco Malfoy Getting Sick To His Stomach?,2707.0,59.0,0.021795345400812707
Footage Of Malcolm X Ripping On Martin Luther King Jr.,2703.0,39.0,0.014428412874583796
"This Is Why It's Important That We Pass The Violence Against Women Act, In Case You Were Confused",2696.0,41.0,0.015207715133531157
Do You Remember This Scene From Harry Potter? There's A Reason For That.,2693.0,84.0,0.031191979205347196
Meet The Nobel Peace Prize Nominee Who Has Been Jailed Without A Trial For Years. In America.,2689.0,39.0,0.014503532911863145
Mind Reader Reveals His Greatest Trick. It's Actually Kind Of Terrifying.,2668.0,79.0,0.029610194902548726
WTF: Fox News Spends 4 Minutes Calling Wildly Successful Women Fat And Lazy,2661.0,72.0,0.02705749718151071
"This Has A Happy Ending. However, You Have To Be As Strong As This Fancy Pants Actor To Get To It.",2650.0,45.0,0.016981132075471698
This Movie Doesn't Have A Happy Ending Unless You Watch It All The Way Through,2648.0,32.0,0.012084592145015106
"Lazy Fox News Reporters Were Desperate For A Story, So They Called Adele Fat And Lazy",2645.0,72.0,0.02722117202268431
"This Guy Disarmed Dumbledore, Yet He Can Barely Watch This. Are You Stronger Than Him?",2643.0,52.0,0.019674612183125235
WTF: Fox News Spends 4 Minutes Calling Wildly Successful Women Fat And Lazy,2640.0,120.0,0.045454545454545456
NSFW: How To Make Draco Malfoy Physically Ill Without Using Any Magic At All,2623.0,59.0,0.02249332825009531
"If This Guy Can Get Through This To The Happy Ending, Surely You Can Too?",2614.0,29.0,0.011094108645753635
Malcolm X's Scathing Comments About Martin Luther King Jr.,2600.0,25.0,0.009615384615384616
"If You Ever Wondered Why We Need Laws To Stop Violence Against Women, Here's A Pretty Clear Answer",2592.0,48.0,0.018518518518518517
Malcolm X Calls Martin Luther King Jr. A 'Modern Uncle Tom' On Camera,2551.0,22.0,0.00862406899255194
NSFW: How To Make Draco Malfoy Physically Ill Without Any Magic At All,2285.0,51.0,0.022319474835886213
